Question,Answer,Audio,Badge
Which is colder — ice or steam?,Ice,,
How many even numbers are between 1 and 10?,"4 (2, 4, 6, 8)",,
"If you have 10 fingers, how many fingers on 5 hands?",25,,
What shape is most like a clock?,Circle,,
You buy 3 boxes of 10 crayons each. How many crayons total?,30,,
"Which number is the biggest — 9, 19, or 29?",29,,
What number is one more than 29?,30,,
How many sides does a star shape usually have?,5 points,,
"If you count by 3s starting at 3, what comes after 9?",12,,
What is double 8 plus 2?,18,,
How many legs do 2 spiders have?,16,,
What time is it 2 hours after 9 o’clock?,11 o’clock,,
Which is longer — 1 hour or 30 minutes?,1 hour,,
How many halves make 2 wholes?,4,,
What is one less than 1 dozen?,11,,
Which number is odd — 22 or 23?,23,,
"If a pizza is cut into 8 slices and you eat 3, how many left?",5,,
What number is 1 more than 99?,100,,
How many wheels does a bus have if it has 6 on each side?,12,,
Which shape can stack easily — sphere or cube?,Cube,,
How many corners does a rectangle have?,4,,
"If you walk 2 steps 5 times, how many steps total?",10,,
What is half of 6?,3,,
You have 4 quarters of an apple and eat 1. How much is left?,¾,,
Which number is closest to 50 — 47 or 53?,Both equally close,,
What number comes between 45 and 47?,46,,
How many equal sides does an isosceles triangle have?,2,,
Which is taller — a giraffe or a cat?,Giraffe,,
How many days are in April?,30,,
"You have 10 balloons, 4 pop. How many remain?",6,,
Which number is a multiple of 10 — 15 or 20?,20,,
What number comes just before 200?,199,,
"If you have 3 groups of 4 flowers, how many flowers?",12,,
Which is greater — a metre or a centimetre?,Metre,,
What number is 10 more than 15?,25,,
How many equal halves make ½?,None (½ is already half),,
"You have 2 pizzas, each cut into 8 slices. How many slices total?",16,,
How many hours are in 2 days?,48,,
What is double 20?,40,,
Which number is smaller — 33 or 13?,13,,
"If it’s 11 o’clock, what time will it be in 1 hour?",12 o’clock,,
How many eyes do 4 people have altogether?,8,,
What number comes between 17 and 19?,18,,
Which number is even — 27 or 28?,28,,
You have 2 boxes of 12 cupcakes each. How many cupcakes?,24,,
What is half of 40?,20,,
How many days are in May?,31,,
Which is larger — a cup or a teaspoon?,Cup,,
"If 5 birds sit on a fence and 2 fly away, how many left?",3,,
What number is double 13?,26,,
You have 5 apples and cut each in half. How many pieces?,10,,
Which number is 1 less than 50?,49,,
How many hours make half a day?,12,,
What shape has 4 sides and 4 corners but not all sides the same length?,Rectangle,,
Which number is odd — 44 or 45?,45,,
You have 10 balls and drop 3. How many left?,7,,
How many tens are in 100?,10,,
Which number comes between 32 and 34?,33,,
You have 2 tricycles. How many wheels altogether?,6,,
"Which number is the smallest — 60, 6, 16?",6,,
What is double 16?,32,,
How many seconds are in 1 minute?,60,,
You have 12 toffees and eat 4. How many remain?,8,,
Which is longer — 1 kilometre or 1 metre?,1 kilometre,,
How many corners does a square have?,4,,
What number is ten more than 40?,50,,
Which number is even — 35 or 40?,40,,
How many wheels does a bicycle have?,2,,
What number comes before 70?,69,,
You have 6 pairs of shoes. How many individual shoes?,12,,
Which number is greater — 101 or 99?,101,,
How many sides does a rectangle have?,4,,
What shape is a pizza?,Circle,,
You have 20 cents and buy 2 lollies for 5 cents each. How much left?,10 cents,,
What number comes after 109?,110,,
How many quarters make 1 whole?,4,,
Which number is one more than 999?,1000,,
How many months have 31 days?,7,,
What number is half of 50?,25,,
"You have 8 candles, 3 blow out. How many still burning?",5,,
"Which number is in the middle — 5, 10, 15?",10,,
What number comes between 24 and 26?,25,,
"If you count by 10s from 0 to 100, how many numbers do you say?",11 (0–100),,
"You have 4 friends, each gives 2 cards. How many cards total?",8,,
How many days are in a leap year?,366,,
What number comes just before 200?,199,,
Which number is smaller — 250 or 205?,205,,
How many sides does a pentagon have?,5,,
"You have 10 marbles, lose 2, find 1. How many now?",9,,
Which number is double 4?,8,,
How many minutes are in 2 hours?,120,,
What number is half of 30?,15,,
Which is heavier — a pillow or a stone?,Stone,,
How many even numbers come before 10?,"4 (2, 4, 6, 8)",,
You have 3 cups of water and pour out 1. How many left?,2,,
What shape has 5 sides?,Pentagon,,
How many digits are in the number 1000?,4,,
Which number comes after 250?,251,,
How many hours are in 3 days?,72,,
"If you have 20 biscuits and eat half, how many left?",10,,
Which number is odd — 24 or 27?,27,,
What number is double 25?,50,,
How many centimetres are in 2 metres?,200,,
You have 3 pairs of socks. How many socks in total?,6,,
Which number comes before 15?,14,,
What number comes after 29?,30,,
How many corners does a cube have?,8,,
Which number is greater — 18 or 81?,81,,
"If a week has 7 days, how many days in 2 weeks?",14,,
How many sides does a triangle have?,3,,
Which number is double 18?,36,,
What number is half of 60?,30,,
Which number is smaller — 500 or 50?,50,,
"You have 4 children, each gets 2 toys. How many toys?",8,,
What number is 5 less than 40?,35,,
Which shape has 10 sides?,Decagon,,
How many days are in September?,30,,
What is double 0?,0,,
Which number comes after 19?,20,,
How many groups of 10 are in 70?,7,,
You have 50 cents and spend 20 cents. How much left?,30 cents,,
What number is halfway between 0 and 10?,5,,
How many corners does a triangle have?,3,,
Which number is even — 17 or 18?,18,,
You have 100 sweets and give half to a friend. How many do you keep?,50,,
