question,answer,Audio,Badge
Who is the official Hogwarts champion chosen by the Goblet of Fire?,Cedric Diggory,,
What festive event is held during the Triwizard year?,The Yule Ball,,
What is the name of Voldemort’s snake?,Nagini,,
What is the wizard prison called?,Azkaban,,
What creatures guard Azkaban?,Dementors,,
What sport is played on broomsticks?,Quidditch,,
What kind of creature is Dobby?,A house‑elf,,
What does S.P.E.W. stand for?,Society for the Promotion of Elfish Welfare,,
Where does Arthur Weasley work?,The Ministry of Magic,,
What is the wizarding newspaper called?,The Daily Prophet,,
What shop do Fred and George open?,Weasleys’ Wizard Wheezes,,
What bookshop is in Diagon Alley?,Flourish and Blotts,,
Who is Luna Lovegood’s father?,Xenophilius Lovegood,,
What is the name of Dumbledore’s phoenix?,Fawkes,,
What is the name of the hippogriff Harry rides?,Buckbeak,,
Which professor is a werewolf?,Remus Lupin,,
Which object reveals people’s locations within Hogwarts?,The Marauder’s Map,,
What magical device allows time travel in book three?,A Time‑Turner,,
What is Harry’s wand wood and core?,Holly and phoenix feather,,
What creature lives in the Chamber of Secrets?,A Basilisk,,
Which student can speak Parseltongue besides Voldemort?,Harry Potter,,
Who is the Half‑Blood Prince?,Severus Snape,,
What Horcrux is hidden in Bellatrix’s vault?,Helga Hufflepuff’s Cup,,
What relic belongs to Ravenclaw and is a Horcrux?,Rowena Ravenclaw’s Diadem,,
What relic of Gryffindor destroys Horcruxes?,The Sword of Gryffindor,,
What locket becomes a Horcrux?,Salazar Slytherin’s Locket,,
What animal is Hufflepuff’s house mascot?,A badger,,
